1|MAZMUR 4:9|Dengan tenteram aku membaringkan diri, sebab hanya Engkau yang membuatku aman.
2|MAZMUR 3:6|Aku membaringkan diri, tidur dan bangun, sebab TUHAN menopang aku.
3|MAZMUR 91:1|Orang yang tinggal dalam lindungan Yang Mahatinggi akan aman.
4|MAZMUR 91:11|Ia akan memerintahkan malaikat-malaikat-Nya menjagamu.
5|MAZMUR 121:3|Ia tidak akan membiarkan kakimu goyah.
6|MAZMUR 121:8|TUHAN akan menjaga keluar masukmu sekarang dan selamanya.
7|AMSAL 3:24|Apabila engkau berbaring, tidurmu akan nyenyak.
8|YESAYA 26:3|Engkau menjaga dia dalam damai sejahtera yang sempurna.
9|MAZMUR 23:1|TUHAN adalah gembalaku, takkan kekurangan aku.
10|MAZMUR 23:4|Engkau besertaku, gada dan tongkat-Mu menghibur aku.
11|MATIUS 11:28|Marilah kepada-Ku, Aku akan memberi kelegaan kepadamu.
12|YOHANES 14:27|Damai sejahtera Kutinggalkan bagimu.
13|FILIPI 4:7|Damai sejahtera Allah memelihara hati dan pikiranmu.
14|1 PETRUS 5:7|Serahkanlah segala kekhawatiranmu kepada-Nya.
15|IBRANI 13:5|Aku sekali-kali tidak akan membiarkan engkau.
16|ULANGAN 31:8|TUHAN berjalan di depanmu dan tidak meninggalkanmu.
17|YESAYA 41:10|Jangan takut, sebab Aku menyertai engkau.
18|RATAPAN 3:22|Tak berkesudahan kasih setia TUHAN.
19|RATAPAN 3:23|Kasih setia-Nya selalu baru setiap pagi.
20|MAZMUR 46:2|Allah adalah tempat perlindungan dan kekuatan kita.
21|MAZMUR 16:8|Aku senantiasa memandang kepada TUHAN, Ia tidak tergoyahkan.
22|MAZMUR 27:1|TUHAN adalah terangku dan keselamatanku, kepada siapa aku takut?
23|MAZMUR 31:6|Ke dalam tangan-Mu kuserahkan hidupku.
24|MAZMUR 32:7|Engkaulah persembunyianku dan pelindungku.
25|MAZMUR 46:11|Diamlah dan ketahuilah bahwa Akulah Allah.
26|MAZMUR 62:2|Hanya dekat Allah saja aku tenang.
27|MAZMUR 63:7|Dalam naungan sayap-Mu aku bersorak-sorai.
28|MAZMUR 91:2|TUHAN adalah tempat perlindungan dan kubu pertahananku.
29|MAZMUR 116:7|Kembalilah tenang, hai jiwaku, sebab TUHAN telah berbuat baik kepadamu.
30|MAZMUR 125:2|TUHAN melindungi umat-Nya dari sekarang sampai selama-lamanya.
31|AMSAL 18:10|Nama TUHAN adalah menara yang kuat.
32|PENGKHOTBAH 3:1|Untuk segala sesuatu ada waktunya.
33|YESAYA 30:15|Dalam tinggal tenang dan percaya terletak kekuatanmu.
34|YESAYA 43:2|Apabila engkau menyeberang, Aku menyertai engkau.
35|YEREMIA 17:14|Sembuhkanlah aku, ya TUHAN, maka aku sembuh.
36|RATAPAN 3:24|TUHAN adalah bagianku, karena itu aku berharap kepada-Nya.
37|NAHUM 1:7|TUHAN itu baik, tempat perlindungan pada waktu kesesakan.
38|MATIUS 6:34|Janganlah khawatir akan hari esok.
39|YOHANES 10:28|Tidak seorang pun akan merebut mereka dari tangan-Ku.
40|2 TESALONIKA 3:3|Tuhan setia dan akan menguatkan serta melindungi kamu.
41|MAZMUR 17:8|Lindungilah aku dalam naungan sayap-Mu.
42|MAZMUR 18:2|TUHAN adalah gunung batuku dan kota bentengku.
43|MAZMUR 27:5|Ia menyembunyikan aku dalam lindungan-Nya.
44|MAZMUR 34:8|Kecaplah dan lihatlah betapa baiknya TUHAN.
45|MAZMUR 37:5|Serahkanlah hidupmu kepada TUHAN.
46|MAZMUR 56:4|Kepada Allah aku percaya, aku tidak takut.
47|MAZMUR 61:4|Biarlah aku berlindung dalam naungan sayap-Mu.
48|MAZMUR 84:12|TUHAN adalah matahari dan perisai.
49|MAZMUR 86:5|Engkau baik dan berlimpah kasih setia.
50|MAZMUR 112:7|Hatinya teguh, penuh kepercayaan kepada TUHAN.
51|AMSAL 14:26|Orang yang takut akan TUHAN memiliki perlindungan yang kuat.
52|YESAYA 12:2|Allah adalah keselamatanku, aku percaya dan tidak takut.
53|YESAYA 40:11|Ia menggembalakan kawanan-Nya seperti seorang gembala.
54|YESAYA 54:10|Kasih setia-Ku tidak akan beranjak darimu.
55|YEREMIA 31:3|Aku mengasihi engkau dengan kasih yang kekal.
56|RATAPAN 3:57|Jangan takut!
57|MIKHA 7:8|TUHAN akan menjadi terang bagiku.
58|YOHANES 6:37|Barangsiapa datang kepada-Ku, tidak akan Kubuang.
59|ROMA 8:38|Tidak ada yang dapat memisahkan kita dari kasih Allah.
60|IBRANI 4:9|Masih tersedia perhentian bagi umat Allah.
61|MAZMUR 5:12|Semua orang yang berlindung kepada-Mu akan bersukacita.
62|MAZMUR 9:10|Engkau tidak meninggalkan orang yang mencari Engkau.
63|MAZMUR 18:31|Allah, jalan-Nya sempurna, firman-Nya terbukti benar.
64|MAZMUR 23:6|Kasih setia-Mu akan menyertai aku seumur hidupku.
65|MAZMUR 25:5|Pimpinlah aku dalam kebenaran-Mu.
66|MAZMUR 27:14|Nantikanlah TUHAN, kuatkanlah hatimu.
67|MAZMUR 33:20|Jiwa kita menanti-nantikan TUHAN.
