1|YOSUA 1:9|Kuatkan dan teguhkanlah hatimu.
2|YESAYA 41:10|Jangan takut, sebab Aku menyertai engkau.
3|MAZMUR 118:24|Inilah hari yang dijadikan TUHAN.
4|RATAPAN 3:23|Kasih setia-Nya selalu baru setiap pagi.
5|FILIPI 4:13|Segala perkara dapat kutanggung di dalam Dia.
6|MAZMUR 46:2|Allah itu bagi kita tempat perlindungan dan kekuatan.
7|ULANGAN 31:8|TUHAN sendiri berjalan di depanmu.
8|AMSAL 3:5|Percayalah kepada TUHAN dengan segenap hatimu.
9|YESAYA 40:31|Orang yang berharap kepada TUHAN mendapat kekuatan baru.
10|MAZMUR 121:2|Pertolonganku ialah dari TUHAN.
11|YOHANES 16:33|Kuatkan hatimu, Aku telah mengalahkan dunia.
12|ROMA 8:31|Jika Allah di pihak kita, siapa melawan kita?.
13|2 TIMOTIUS 1:7|Allah memberi roh yang membangkitkan kekuatan.
14|MAZMUR 27:1|TUHAN adalah terang dan keselamatanku.
15|NAHUM 1:7|TUHAN itu baik, tempat perlindungan pada waktu kesusahan.
16|YESAYA 43:2|Aku akan menyertai engkau.
17|IBRANI 13:5|Aku sekali-kali tidak akan meninggalkan engkau.
18|MAZMUR 23:1|TUHAN adalah gembalaku, takkan kekurangan aku.
19|YEREMIA 29:11|Aku mengetahui rancangan damai sejahtera bagimu.
20|MAZMUR 37:5|Serahkan hidupmu kepada TUHAN dan percayalah kepada-Nya.
21|MAZMUR 31:25|Kuatkan dan teguhkanlah hatimu, hai semua yang berharap kepada TUHAN.
22|MAZMUR 28:7|TUHAN adalah kekuatan dan perisaiku.
23|YESAYA 26:4|Percayalah kepada TUHAN untuk selama-lamanya.
24|MAZMUR 62:6|Hanya Dialah gunung batu dan keselamatanku.
25|ROMA 15:13|Allah memenuhi kamu dengan sukacita dan damai sejahtera.
26|FILIPI 4:19|Allahku akan memenuhi segala keperluanmu.
27|MAZMUR 125:1|Orang yang percaya kepada TUHAN tidak akan goyah.
28|AMSAL 16:9|TUHANlah yang menentukan arah langkahnya.
29|MAZMUR 143:8|Beritahukanlah kepadaku jalan yang harus kutempuh.
30|YESAYA 30:21|Inilah jalan, berjalanlah mengikutinya.
31|MAZMUR 32:8|Aku hendak mengajar dan menunjukkan jalan kepadamu.
32|ULANGAN 31:6|TUHAN tidak akan membiarkan engkau.
33|YOHANES 14:1|Jangan gelisah hatimu, percayalah kepada Allah.
34|IBRANI 10:23|Pegang teguh pengharapan yang kita akui.
35|2 KORINTUS 5:7|Hiduplah oleh iman, bukan karena melihat.
36|MAZMUR 56:4|Kepada Allah aku percaya, aku tidak takut.
37|YESAYA 12:2|Allah adalah keselamatanku, aku percaya kepada-Nya.
38|MAZMUR 84:12|TUHAN mengaruniakan kasih dan kemuliaan.
39|EFESUS 3:20|Allah sanggup melakukan jauh lebih banyak.
40|YAKOBUS 1:12|Berbahagialah orang yang bertahan dalam pencobaan.
41|MAZMUR 34:9|Kecaplah dan lihatlah, betapa baiknya TUHAN.
42|MAZMUR 27:14|Nantikanlah TUHAN! Kuatkanlah hatimu.
43|YESAYA 54:10|Kasih setia-Ku tidak akan beranjak darimu.
44|YEREMIA 17:7|Diberkatilah orang yang mengandalkan TUHAN.
45|MAZMUR 33:22|Kiranya kasih setia-Mu menyertai kami.
46|IBRANI 11:1|Iman adalah dasar dari segala sesuatu yang kita harapkan.
47|ROMA 8:28|Allah turut bekerja dalam segala sesuatu untuk kebaikan.
48|1 PETRUS 5:7|Serahkanlah segala kekhawatiranmu kepada-Nya.
49|MAZMUR 91:2|TUHAN adalah tempat perlindungan dan kubu pertahananku.
50|AMSAL 18:10|Nama TUHAN adalah menara yang kuat.
51|YESAYA 58:11|TUHAN akan menuntun engkau senantiasa.
