1|AMSAL 16:3|Serahkanlah segala pekerjaanmu kepada TUHAN.
2|KOLOSE 3:23|Apa pun yang kamu perbuat, lakukanlah seperti untuk Tuhan.
3|PENGKHOTBAH 9:10|Kerjakanlah dengan sekuat tenaga apa yang dapat dikerjakan tanganmu.
4|AMSAL 3:5|Percayalah kepada TUHAN dengan segenap hatimu.
5|YAKOBUS 1:5|Mintalah hikmat kepada Allah.
6|EFESUS 6:7|Layanilah dengan rela seperti melayani Tuhan.
7|MAZMUR 90:17|Teguhkanlah pekerjaan tangan kami.
8|FILIPI 2:14|Lakukanlah segala sesuatu tanpa bersungut-sungut.
9|AMSAL 22:29|Orang yang cakap akan berdiri di hadapan raja-raja.
10|1 KORINTUS 10:31|Lakukanlah semuanya untuk kemuliaan Allah.
11|MAZMUR 37:5|Serahkanlah hidupmu kepada TUHAN.
12|AMSAL 4:7|Utamakanlah hikmat.
13|YOSUA 1:8|Lakukanlah firman ini dengan setia.
14|MATIUS 5:16|Biarlah terangmu bercahaya di depan orang.
15|FILIPI 4:13|Segala perkara dapat kutanggung di dalam Dia.
16|IBRANI 6:10|Allah tidak lalai mengingat pekerjaanmu.
17|AMSAL 12:24|Tangan orang rajin akan memegang kekuasaan.
18|1 KORINTUS 15:58|Giatlah selalu dalam pekerjaan Tuhan.
19|MAZMUR 128:2|Engkau akan menikmati hasil jerih payahmu.
20|ROMA 12:11|Janganlah hendaknya kerajinanmu kendor.
21|AMSAL 11:3|Kejujuran menuntun orang yang tulus.
22|MAZMUR 25:4|Beritahukanlah jalan-Mu kepadaku, ya TUHAN.
23|AMSAL 2:6|TUHANlah yang memberikan hikmat.
24|EFESUS 2:10|Kita diciptakan untuk melakukan pekerjaan baik.
25|MATIUS 5:14|Kamulah terang dunia.
26|AMSAL 15:22|Rancangan berhasil karena banyak pertimbangan.
27|2 TIMOTIUS 2:15|Usahakanlah supaya engkau layak di hadapan Allah.
28|MAZMUR 119:105|Firman-Mu adalah pelita bagi kakiku.
29|AMSAL 14:23|Dalam setiap jerih payah ada keuntungan.
30|FILIPI 2:3|Rendahkanlah dirimu dan utamakan orang lain.
31|GALATIA 6:9|Jangan jemu berbuat baik.
32|AMSAL 21:5|Rancangan orang rajin membawa kelimpahan.
