1|MAZMUR 92:2|Adalah baik untuk mengucap syukur kepada TUHAN.
2|FILIPI 4:4|Bersukacitalah senantiasa di dalam Tuhan.
3|1 TESALONIKA 5:18|Mengucap syukurlah dalam segala hal.
4|MAZMUR 100:4|Masuklah ke hadapan-Nya dengan ucapan syukur.
5|KOLOSE 3:15|Hendaklah kamu selalu bersyukur.
6|IBRANI 13:15|Persembahkanlah korban syukur kepada Allah.
7|EFESUS 5:20|Ucaplah syukur senantiasa dalam nama Tuhan Yesus.
8|MAZMUR 107:1|Bersyukurlah kepada TUHAN, sebab Ia baik.
9|FILIPI 1:3|Aku mengucap syukur kepada Allah setiap kali mengingat kamu.
10|MAZMUR 118:24|Inilah hari yang dijadikan TUHAN, marilah kita bersukacita.
11|KOLOSE 2:7|Melimpahlah dengan ucapan syukur.
12|MAZMUR 34:2|Biarlah jiwaku bermegah di dalam TUHAN.
13|YAKOBUS 5:13|Kalau ada yang bersukacita, baiklah ia menyanyi.
14|ROMA 15:13|Allah memenuhi kamu dengan sukacita dan damai sejahtera.
15|MAZMUR 63:5|Jiwaku dikenyangkan dan mulutku memuji Engkau.
16|1 PETRUS 1:8|Bersukacitalah dengan sukacita yang mulia.
17|YESAYA 12:2|Allah adalah keselamatanku, aku percaya dan tidak takut.
18|MAZMUR 28:7|Hatiku bersukacita dan dengan nyanyianku aku bersyukur.
19|YOHANES 15:11|Supaya sukacita-Ku ada di dalam kamu.
20|HABAKUK 3:18|Aku akan bersukacita di dalam TUHAN.
21|MAZMUR 9:2|Aku hendak bersukacita dan bersorak-sorai karena Engkau.
22|FILIPI 4:7|Damai sejahtera Allah akan memelihara hatimu.
23|MAZMUR 16:11|Di hadapan-Mu ada sukacita berlimpah-limpah.
24|YESAYA 26:3|Engkau menjaga orang yang berharap kepada-Mu dalam damai.
25|ROMA 5:2|Kita bermegah dalam pengharapan akan kemuliaan Allah.
26|MAZMUR 36:8|Mereka dikenyangkan dengan kelimpahan rumah-Mu.
27|2 KORINTUS 9:8|Allah sanggup melimpahkan segala kasih karunia kepadamu.
28|MAZMUR 103:2|Jangan lupakan segala kebaikan-Nya.
29|1 PETRUS 5:7|Serahkanlah segala kekhawatiranmu kepada-Nya.
30|MAZMUR 31:24|Kuatkan dan teguhkanlah hatimu, hai orang yang berharap kepada TUHAN.
31|GALATIA 5:22|Buah Roh ialah kasih, sukacita, dan damai sejahtera.
32|MAZMUR 62:9|Hanya pada Allah saja kiranya aku tenang.
33|YOHANES 16:33|Di dalam Aku kamu memperoleh damai sejahtera.
34|ROMA 8:38|Tidak ada yang dapat memisahkan kita dari kasih Allah.
35|MAZMUR 145:9|TUHAN itu baik kepada semua orang.
36|KOLOSE 3:16|Bernyanyilah dengan syukur kepada Allah.
37|IBRANI 12:28|Marilah kita beribadah kepada Allah dengan syukur.
38|MAZMUR 30:12|Aku akan bersyukur kepada-Mu untuk selama-lamanya.
39|2 TESALONIKA 3:16|Kiranya Tuhan damai sejahtera memberi damai kepadamu.
40|YESAYA 41:10|Jangan takut, sebab Aku menyertai engkau.
41|MAZMUR 138:1|Aku hendak bersyukur kepada-Mu dengan segenap hatiku.
42|FILIPI 4:19|Allah akan memenuhi segala keperluanmu.
43|MAZMUR 23:6|Kasih setia-Mu akan mengikutiku seumur hidupku.
44|YESAYA 30:15|Dalam tinggal tenang dan percaya terletak kekuatanmu.
45|ROMA 12:12|Bersukacitalah dalam pengharapan dan bertekunlah dalam doa.
46|MAZMUR 121:8|TUHAN akan menjaga keluar masukmu sekarang dan selamanya.
47|2 KORINTUS 4:16|Jangan tawar hati, manusia batiniah diperbarui dari hari ke hari.
48|MAZMUR 84:11|TUHAN memberikan kasih karunia dan kemuliaan.
49|1 YOHANES 4:9|Kasih Allah dinyatakan di tengah-tengah kita.
50|MAZMUR 27:14|Nantikanlah TUHAN, kuatkanlah hatimu.
51|EFESUS 3:20|Allah sanggup melakukan jauh lebih banyak daripada yang kita doakan.
52|MAZMUR 40:17|TUHAN memikirkan aku.
53|YOHANES 14:27|Damai sejahtera Kutinggalkan bagimu.
54|ROMA 15:5|Allah mengaruniakan kerukunan dan kesehatian.
55|MAZMUR 146:5|Berbahagialah orang yang berharap kepada TUHAN.
56|KOLOSE 3:2|Arahkanlah pikiranmu kepada perkara yang di atas.
57|IBRANI 6:19|Pengharapan adalah sauh yang kuat bagi jiwa.
58|MAZMUR 147:11|TUHAN berkenan kepada orang yang berharap pada kasih setia-Nya.
59|2 TIMOTIUS 1:7|Allah memberikan roh yang membangkitkan kekuatan, kasih, dan ketertiban.
60|YESAYA 43:2|Aku menyertai engkau melewati setiap keadaan.
61|MAZMUR 95:2|Marilah menghadap hadirat-Nya dengan ucapan syukur.
